Time,Wind Turbine,Periodic Consumer,Power To Grid,Battery Storage,Power from Battery
h,kW,kW,kW,kWh,kW
0.00,7.9131,17.8771,0.0000,49.9972,9.9640
0.17,7.9044,18.6420,-0.7376,48.3306,10.0000
0.33,2.7203,18.8354,-6.1152,46.6639,10.0000
0.50,13.6318,18.1849,0.0000,45.9051,4.5531
0.67,21.7755,18.6012,0.0000,46.4341,-3.1743
0.83,26.1315,17.3805,0.0000,47.8926,-8.7510
1.00,19.1843,17.1994,0.0000,48.2234,-1.9849
1.17,10.6915,17.6505,0.0000,47.0636,6.9591
1.33,3.2030,17.3823,-4.1793,45.3969,10.0000
1.50,19.0446,17.2360,0.0000,45.6983,-1.8086
1.67,27.8392,16.1659,1.6732,47.3650,-10.0000
1.83,4.3869,16.6644,-2.2775,45.6983,10.0000
2.00,0.0511,16.1108,-6.0597,44.0317,10.0000
2.17,30.6299,15.8867,4.1133,45.6983,-10.0000
2.33,0.0046,15.6183,-5.6136,44.0317,10.0000
2.50,2.7917,15.0875,-2.2958,42.3650,10.0000
2.67,14.0605,15.8473,0.0000,42.0672,1.7868
2.83,0.0351,14.7088,-4.6737,40.4005,10.0000
3.00,21.0622,15.3838,0.0000,41.3469,-5.6785
3.17,6.8858,14.5568,0.0000,40.0684,7.6710
3.33,30.3162,15.0923,4.9077,41.7351,-10.0000
3.50,22.5642,14.9795,0.0000,42.9992,-7.5847
3.67,0.0272,14.7601,-4.7329,41.3326,10.0000
3.83,16.3144,14.0166,0.0000,41.7155,-2.2978
4.00,25.5209,13.3702,2.1507,43.3822,-10.0000
4.17,10.1175,13.5229,0.0000,42.8146,3.4054
4.33,23.0849,12.8367,0.2483,44.4813,-10.0000
4.50,0.0125,12.7943,-2.7819,42.8146,10.0000
4.67,7.4868,12.6399,0.0000,41.9558,5.1531
4.83,8.5153,13.3746,0.0000,41.1459,4.8593
5.00,25.2953,13.1306,2.1647,42.8126,-10.0000
5.17,7.2467,12.1529,0.0000,41.9949,4.9062
5.33,24.0843,12.5631,1.5212,43.6615,-10.0000
5.50,3.9095,12.4237,0.0000,42.2425,8.5142
5.67,7.1033,12.3861,0.0000,41.3620,5.2827
5.83,0.0511,11.5048,-1.4537,39.6954,10.0000
6.00,30.6362,11.0458,8.9542,41.3620,-10.0000
6.17,14.4206,10.8423,0.0000,41.9584,-3.5783
6.33,5.8721,11.0270,0.0000,41.0993,5.1549
6.50,0.0260,11.1817,-1.1558,39.4326,10.0000
6.67,15.5913,10.6640,0.0000,40.2538,-4.9274
6.83,27.4731,11.3409,6.1322,41.9205,-10.0000
7.00,17.9311,10.3771,0.0000,43.1795,-7.5540
7.17,14.3158,10.4053,0.0000,43.8313,-3.9105
7.33,0.0352,10.9990,-0.9639,42.1646,10.0000
7.50,21.0711,10.2255,0.8455,43.8313,-10.0000
7.67,7.3874,10.3156,0.0000,43.3432,2.9282
7.83,0.0094,9.9986,0.0000,41.6784,9.9892
8.00,5.6980,10.6228,0.0000,40.8576,4.9247
8.17,28.6935,9.8736,8.8199,42.5242,-10.0000
8.33,7.8099,9.6191,0.0000,42.2227,1.8092
8.50,20.2150,10.1086,0.1065,43.8894,-10.0000
8.67,23.5698,9.8307,3.7391,45.5560,-10.0000
8.83,28.6464,10.0207,8.6257,47.2227,-10.0000
9.00,14.1103,10.2395,0.0000,47.8678,-3.8708
9.17,14.7040,9.7691,0.0000,48.6903,-4.9349
9.33,17.4599,9.7212,0.0000,49.9801,-7.7387
9.50,2.7089,10.2910,0.0000,48.7164,7.5822
9.67,5.9626,10.1130,0.0000,48.0247,4.1504
9.83,6.3862,10.2081,0.0000,47.3877,3.8219
10.00,9.8832,9.9663,0.0000,47.3739,0.0831
10.17,23.9061,10.1320,3.7741,49.0405,-10.0000
10.33,0.0044,9.8990,0.0000,47.3914,9.8947
10.50,2.6495,9.8719,0.0000,46.1877,7.2224
10.67,23.5405,10.2493,3.2911,47.8544,-10.0000
10.83,6.0435,10.7154,0.0000,47.0757,4.6719
11.00,0.0454,10.9906,-0.9451,45.4090,10.0000
11.17,27.2159,10.7698,6.4461,47.0757,-10.0000
11.33,4.9686,11.1853,0.0000,46.0396,6.2166
11.50,17.8588,11.3586,0.0000,47.1230,-6.5002
11.67,14.5364,11.6314,0.0000,47.6071,-2.9050
11.83,3.0545,11.6654,0.0000,46.1720,8.6109
12.00,24.4858,11.8470,2.6388,47.8387,-10.0000
12.17,20.5616,11.6563,0.0000,49.3229,-8.9053
12.33,0.0196,12.1346,-2.1150,47.6562,10.0000
12.50,11.7641,11.8384,0.0000,47.6438,0.0743
12.67,22.6036,11.9946,0.6090,49.3105,-10.0000
12.83,26.5074,12.1887,4.3187,50.9772,-10.0000
13.00,0.0173,12.8999,-2.8825,49.3105,10.0000
13.17,10.4093,12.6955,0.0000,48.9295,2.2862
13.33,14.5530,12.2800,0.0000,49.3083,-2.2730
13.50,6.7074,12.3466,0.0000,48.3684,5.6391
13.67,14.7518,13.6378,0.0000,48.5541,-1.1140
13.83,28.9238,13.1090,5.8148,50.2208,-10.0000
14.00,6.5366,14.0320,0.0000,48.9715,7.4954
14.17,0.0047,14.4723,-4.4676,47.3049,10.0000
14.33,2.8244,14.2757,-1.4513,45.6382,10.0000
14.50,6.4784,13.8611,0.0000,44.4077,7.3827
14.67,29.0237,14.3961,4.6276,46.0744,-10.0000
14.83,24.9504,13.9776,0.9728,47.7411,-10.0000
15.00,28.0591,14.6932,3.3660,49.4077,-10.0000
15.17,29.8071,14.9873,4.8197,51.0744,-10.0000
15.33,2.8003,15.9740,-3.1737,49.4077,10.0000
15.50,0.0217,15.1979,-5.1762,47.7411,10.0000
15.67,13.0105,15.9162,0.0000,47.2568,2.9057
15.83,24.9737,15.2494,0.0000,48.8775,-9.7243
16.00,29.4207,15.7916,3.6291,50.5442,-10.0000
16.17,0.0063,15.7807,-5.7744,48.8775,10.0000
16.33,3.7713,15.9305,-2.1592,47.2108,10.0000
16.50,12.4549,17.2772,0.0000,46.4071,4.8223
