Time,Wind Turbine,Periodic Consumer,Power To Grid,Battery Storage,Power from Battery
h,kW,kW,kW,kWh,kW
15.33,0.0000,15.9740,-5.9740,37.3295,10.0000
15.50,0.0188,15.1979,-5.1791,35.6629,10.0000
15.67,11.2946,15.9162,0.0000,34.8926,4.6215
15.83,23.8113,15.2494,0.0000,36.3196,-8.5619
16.00,29.0653,15.7916,3.2737,37.9863,-10.0000
16.17,0.0039,15.7807,-5.7767,36.3196,10.0000
16.33,2.3785,15.9305,-3.5520,34.6529,10.0000
16.50,10.7382,17.2772,0.0000,33.5631,6.5390
16.67,7.4160,17.0190,0.0000,31.9626,9.6031
16.83,27.4043,17.7500,0.0000,33.5717,-9.6544
17.00,22.2426,17.2976,0.0000,34.3958,-4.9449
17.17,8.1888,17.2924,0.0000,32.8786,9.1036
17.33,0.0416,17.8917,-7.8501,31.2119,10.0000
17.50,24.9633,17.0930,0.0000,32.5236,-7.8704
17.67,19.7820,17.2758,0.0000,32.9413,-2.5062
17.83,9.7515,18.8395,0.0000,31.4266,9.0880
18.00,13.5147,19.0685,0.0000,30.5010,5.5538
18.17,0.0469,17.7310,-7.6841,28.8343,10.0000
18.33,28.0860,18.0333,0.0527,30.5010,-10.0000
18.50,0.0000,19.1335,-9.1335,28.8343,10.0000
18.67,0.0389,19.8132,-9.7744,27.1677,10.0000
18.83,23.3143,19.5570,0.0000,27.7939,-3.7573
19.00,10.1005,19.2668,0.0000,26.2662,9.1663
19.17,22.9133,19.6160,0.0000,26.8157,-3.2973
19.33,7.4937,18.8840,-1.3904,25.1491,10.0000
19.50,30.8780,20.4358,0.0000,26.8157,-10.0000
19.67,0.8646,20.4959,-9.6313,25.1491,10.0000
19.83,0.0286,20.5916,-10.5630,23.4824,10.0000
20.00,17.2082,19.9072,0.0000,23.0326,2.6990
20.17,28.3903,20.0602,0.0000,24.4209,-8.3301
20.33,17.7130,20.2742,0.0000,23.9940,2.5611
20.50,28.6655,19.7236,0.0000,25.4844,-8.9419
20.67,11.1694,20.9388,0.0000,23.8561,9.7695
20.83,0.0094,20.7012,-10.6918,22.1895,10.0000
21.00,5.6681,19.8853,-4.2172,20.5228,10.0000
21.17,16.7984,19.1774,0.0000,20.1263,2.3790
21.33,26.3574,19.7920,0.0000,21.2205,-6.5654
21.50,10.1381,20.5661,-0.4280,19.5539,10.0000
21.67,10.5385,20.6538,-0.1153,17.8872,10.0000
21.83,18.6702,20.2680,0.0000,17.6209,1.5979
22.00,8.8058,19.7473,-0.9415,15.9542,10.0000
22.17,17.4840,19.2125,0.0000,15.6661,1.7285
22.33,11.6502,18.7599,0.0000,14.4812,7.1097
22.50,6.9452,19.1349,-2.1897,12.8145,10.0000
22.67,0.0093,19.6543,-9.6450,11.1479,10.0000
22.83,5.6001,19.4356,-3.8355,9.4812,10.0000
23.00,24.7496,18.7020,0.0000,10.4891,-6.0476
23.17,6.6065,18.4102,-1.8037,8.8225,10.0000
23.33,25.7995,20.0952,0.0000,9.7732,-5.7043
23.50,19.3744,18.9945,0.0000,9.8365,-0.3799
23.67,0.0268,19.5634,-9.5366,8.1698,10.0000
23.83,16.0925,18.6411,0.0000,7.7451,2.5486
24.00,25.0493,18.4224,0.0000,8.8495,-6.6269
24.17,23.2403,18.2951,0.0000,9.6738,-4.9453
24.33,5.1130,17.4224,-2.3095,8.0071,10.0000
24.50,0.0000,18.5058,-8.5058,6.3404,10.0000
24.67,0.0342,17.4050,-7.3707,4.6738,10.0000
24.83,20.5411,17.5018,0.0000,5.1803,-3.0393
25.00,17.2350,18.2445,0.0000,5.0120,1.0095
25.17,0.7768,17.2999,-6.5231,3.3454,10.0000
25.33,12.8370,17.2672,0.0000,2.6070,4.4302
25.50,28.7509,17.2418,1.5091,4.2737,-10.0000
25.67,16.5674,16.5263,0.0000,4.2805,-0.0411
25.83,3.4832,16.3068,-2.8237,2.6139,10.0000
26.00,17.7250,16.2056,0.0000,2.8671,-1.5194
26.17,18.9366,16.7043,0.0000,3.2392,-2.2322
26.33,2.9339,16.7488,-3.8150,1.5725,10.0000
26.50,27.8383,15.7736,2.0647,3.2392,-10.0000
26.67,11.7436,14.8207,0.0000,2.7263,3.0772
26.83,18.2164,14.8377,0.0000,3.2894,-3.3787
27.00,17.9230,14.3595,0.0000,3.8833,-3.5635
27.17,7.1082,15.5425,-0.0000,2.4776,8.4343
27.33,16.3576,15.2020,0.0000,2.6702,-1.1556
27.50,11.2494,14.6297,0.0000,2.1068,3.3803
27.67,27.1911,13.7445,3.4465,3.7735,-10.0000
27.83,0.0180,13.9233,-3.9052,2.1068,10.0000
28.00,10.8022,13.9065,0.0000,1.5894,3.1043
28.17,0.0155,12.9222,-3.3700,0.0000,9.5367
28.33,9.2743,13.2231,-3.9487,0.0000,0.0000
28.50,0.0000,12.5913,-12.5913,0.0000,0.0000
28.67,0.0512,13.3187,-13.2675,0.0000,0.0000
28.83,30.7253,12.9441,7.0559,1.6667,-10.0000
29.00,24.1771,13.2224,0.9547,3.3333,-10.0000
29.17,5.5154,12.5482,0.0000,2.1612,7.0329
29.33,10.7014,11.6493,0.0000,2.0032,0.9479
29.50,23.0264,12.6124,0.4140,3.6699,-10.0000
