Time,Wind Turbine,Periodic Consumer,Power To Grid,Battery Storage,Power from Battery
h,kW,kW,kW,kWh,kW
0.00,9.6298,17.8771,0.0000,49.9977,8.2473
0.17,9.6203,18.6420,0.0000,48.4941,9.0217
0.33,3.9530,18.8354,-4.8825,46.8274,10.0000
0.50,15.2654,18.1849,0.0000,46.3408,2.9195
0.67,22.9385,18.6012,0.0000,47.0637,-4.3373
0.83,26.8806,17.3805,0.0000,48.6471,-9.5001
1.00,20.7239,17.1994,0.0000,49.2345,-3.5245
1.17,12.4074,17.6505,0.0000,48.3606,5.2431
1.33,4.4356,17.3823,-2.9467,46.6940,10.0000
1.50,20.6179,17.2360,0.0000,47.2576,-3.3819
1.67,28.4083,16.1659,2.2424,48.9243,-10.0000
1.83,5.6169,16.6644,-1.0475,47.2576,10.0000
2.00,0.0514,16.1108,-6.0595,45.5910,10.0000
2.17,30.7834,15.8867,4.1133,47.2576,-10.0000
2.33,2.8412,15.6183,-2.7771,45.5910,10.0000
2.50,4.0243,15.0875,-1.0632,43.9243,10.0000
2.67,15.6537,15.8473,0.0000,43.8920,0.1936
2.83,0.0371,14.7088,-4.6717,42.2254,10.0000
3.00,22.2265,15.3838,0.0000,43.3658,-6.8427
3.17,8.3551,14.5568,0.0000,42.3322,6.2017
3.33,30.5293,15.0923,4.9077,43.9989,-10.0000
3.50,23.7260,14.9795,0.0000,45.4566,-8.7465
3.67,0.0298,14.7601,-4.7303,43.7900,10.0000
3.83,17.8880,14.0166,0.0000,44.4352,-3.8714
4.00,26.2703,13.3702,2.9001,46.1019,-10.0000
4.17,11.8333,13.5229,0.0000,45.8203,1.6896
4.33,24.2467,12.8367,1.4101,47.4869,-10.0000
4.50,0.0153,12.7943,-2.7790,45.8203,10.0000
4.67,9.2036,12.6399,0.0000,45.2475,3.4363
4.83,10.2304,13.3746,0.0000,44.7235,3.1441
5.00,26.0445,13.1306,2.9139,46.3902,-10.0000
5.17,8.8638,12.1529,0.0000,45.8420,3.2891
5.33,25.2482,12.5631,2.6851,47.5087,-10.0000
5.50,5.1421,12.4237,0.0000,46.2951,7.2817
5.67,8.6831,12.3861,0.0000,45.6779,3.7029
5.83,3.1861,11.5048,0.0000,44.2914,8.3188
6.00,30.7876,11.0458,8.9542,45.9581,-10.0000
6.17,15.9950,10.8423,0.0000,46.8169,-5.1527
6.33,7.1047,11.0270,0.0000,46.1632,3.9222
6.50,1.6390,11.1817,0.0000,44.5727,9.5427
6.67,17.1650,10.6640,0.0000,45.6562,-6.5010
6.83,28.2222,11.3409,6.8813,47.3229,-10.0000
7.00,19.5061,10.3771,0.0000,48.8444,-9.1290
7.17,15.8882,10.4053,0.0000,49.7582,-5.4829
7.33,0.0371,10.9990,-0.9619,48.0916,10.0000
7.50,22.2357,10.2255,2.0102,49.7582,-10.0000
7.67,9.0737,10.3156,0.0000,49.5512,1.2419
7.83,0.0115,9.9986,0.0000,47.8867,9.9871
8.00,6.9286,10.6228,0.0000,47.2710,3.6942
8.17,29.0518,9.8736,9.1782,48.9377,-10.0000
8.33,9.5259,9.6191,0.0000,48.9222,0.0932
8.50,21.4903,10.1086,1.3817,50.5888,-10.0000
8.67,24.7322,9.8307,4.9015,52.2555,-10.0000
8.83,29.0045,10.0207,8.9838,53.9222,-10.0000
9.00,15.7041,10.2395,0.0000,54.8329,-5.4646
9.17,16.2790,9.7691,0.0000,55.9179,-6.5099
9.33,19.0344,9.7212,0.0000,57.4701,-9.3132
9.50,3.9409,10.2910,0.0000,56.4118,6.3502
9.67,7.1947,10.1130,0.0000,55.9254,2.9183
9.83,7.6750,10.2081,0.0000,55.5032,2.5332
10.00,11.5990,9.9663,0.0000,55.7753,-1.6328
10.17,25.0679,10.1320,4.9359,57.4420,-10.0000
10.33,0.0064,9.8990,0.0000,55.7932,9.8926
10.50,3.8814,9.8719,0.0000,54.7948,5.9905
10.67,24.7043,10.2493,4.4550,56.4615,-10.0000
10.83,7.2734,10.7154,0.0000,55.8878,3.4420
11.00,0.0467,10.9906,-0.9439,54.2211,10.0000
11.17,27.9644,10.7698,7.1946,55.8878,-10.0000
11.33,6.2012,11.1853,0.0000,55.0571,4.9841
11.50,19.4338,11.3586,0.0000,56.4030,-8.0752
11.67,16.1108,11.6314,0.0000,57.1496,-4.4794
11.83,4.2861,11.6654,0.0000,55.9197,7.3792
12.00,25.5196,11.8470,3.6726,57.5864,-10.0000
12.17,21.7342,11.6563,0.0779,59.2530,-10.0000
12.33,0.0224,12.1346,-2.1121,57.5864,10.0000
12.50,13.4799,11.8384,0.0000,57.8599,-1.6415
12.67,23.7666,11.9946,1.7721,59.5266,-10.0000
12.83,27.2539,12.1887,5.0652,61.1933,-10.0000
13.00,0.0202,12.8999,-2.8797,59.5266,10.0000
13.17,12.1258,12.6955,0.0000,59.4317,0.5697
13.33,16.1278,12.2800,0.0000,60.0729,-3.8477
13.50,8.1191,12.3466,0.0000,59.3684,4.2274
13.67,16.3248,13.6378,0.0000,59.8162,-2.6870
13.83,29.2815,13.1090,6.1725,61.4829,-10.0000
14.00,7.8881,14.0320,0.0000,60.4589,6.1439
14.17,0.0068,14.4723,-4.4656,58.7922,10.0000
14.33,4.0566,14.2757,-0.2192,57.1255,10.0000
14.50,7.7886,13.8611,0.0000,56.1135,6.0725
14.67,29.3806,14.3961,4.9844,57.7801,-10.0000
14.83,25.8214,13.9776,1.8439,59.4468,-10.0000
15.00,28.5335,14.6932,3.8404,61.1135,-10.0000
15.17,30.0203,14.9873,5.0127,62.7801,-10.0000
