Time,Wind Turbine,Periodic Consumer,Power To Grid,Battery Storage,Power from Battery
h,kW,kW,kW,kWh,kW
15.33,0.0000,15.9740,-5.9740,25.7501,10.0000
15.50,0.0159,15.1979,-5.1820,24.0834,10.0000
15.67,9.5788,15.9162,0.0000,23.0272,6.3373
15.83,22.6488,15.2494,0.0000,24.2604,-7.3995
16.00,28.7099,15.7916,2.9183,25.9271,-10.0000
16.17,0.0000,15.7807,-5.7807,24.2604,10.0000
16.33,0.0150,15.9305,-5.9155,22.5938,10.0000
16.50,9.0223,17.2772,0.0000,21.2179,8.2549
16.67,6.1848,17.0190,-0.8343,19.5513,10.0000
16.83,26.6559,17.7500,0.0000,21.0356,-8.9059
17.00,21.0784,17.2976,0.0000,21.6657,-3.7807
17.17,6.7524,17.2924,-0.5400,19.9991,10.0000
17.33,0.0397,17.8917,-7.8520,18.3324,10.0000
17.50,23.7989,17.0930,0.0000,19.4500,-6.7059
17.67,18.2068,17.2758,0.0000,19.6052,-0.9309
17.83,8.0348,18.8395,-0.8047,17.9385,10.0000
18.00,11.8008,19.0685,0.0000,16.7272,7.2677
18.17,0.0456,17.7310,-7.6853,15.0606,10.0000
18.33,27.3395,18.0333,0.0000,16.6116,-9.3062
18.50,0.0000,19.1335,-9.1335,14.9449,10.0000
18.67,0.0370,19.8132,-9.7763,13.2783,10.0000
18.83,22.1497,19.5570,0.0000,13.7104,-2.5926
19.00,8.3847,19.2668,-0.8821,12.0437,10.0000
19.17,21.7495,19.6160,0.0000,12.3993,-2.1334
19.33,6.2635,18.8840,-2.6206,10.7326,10.0000
19.50,30.7279,20.4358,0.0000,12.3993,-10.0000
19.67,0.0000,20.4959,-10.4959,10.7326,10.0000
19.83,0.0260,20.5916,-10.5656,9.0659,10.0000
20.00,15.6348,19.9072,0.0000,8.3539,4.2724
20.17,27.7787,20.0602,0.0000,9.6403,-7.7185
20.33,16.1401,20.2742,0.0000,8.9513,4.1341
20.50,28.3072,19.7236,0.0000,10.3819,-8.5836
20.67,9.4555,20.9388,-1.4833,8.7152,10.0000
